Designator,Mid X,Mid Y,Rotation,Layer
A1,85.375,-85.0,90.0,top
SW1,60.46,-118.5,0.0,top
SW10,72.71,-127.5,0.0,top
SW11,72.71,-136.0,0.0,top
SW12,74.96,-147.75,0.0,top
SW13,74.96,-159.5,0.0,top
SW14,74.96,-171.25,0.0,top
SW15,74.96,-182.75,0.0,top
SW16,74.96,-194.5,0.0,top
SW17,84.96,-118.5,0.0,top
SW18,84.96,-127.5,0.0,top
SW19,84.96,-136.0,0.0,top
SW2,60.46,-127.5,0.0,top
SW20,89.46,-147.75,0.0,top
SW21,89.46,-159.5,0.0,top
SW22,89.46,-171.25,0.0,top
SW23,89.46,-182.75,0.0,top
SW24,89.46,-194.5,0.0,top
SW25,109.21,-118.75,0.0,top
SW26,101.21,-128.5,90.0,top
SW27,109.21,-138.0,0.0,top
SW28,103.96,-147.75,0.0,top
SW29,103.96,-159.5,0.0,top
SW3,60.46,-136.0,0.0,top
SW30,103.96,-171.25,0.0,top
SW31,103.96,-182.75,0.0,top
SW32,103.96,-194.5,0.0,top
SW34,109.21,-128.5,270.0,top
SW35,117.21,-128.5,90.0,top
SW36,117.96,-147.75,0.0,top
SW37,117.96,-159.5,0.0,top
SW38,117.96,-171.25,0.0,top
SW39,117.96,-182.75,0.0,top
SW4,60.46,-147.75,0.0,top
SW40,117.96,-194.5,0.0,top
SW5,60.46,-159.5,0.0,top
SW6,60.46,-171.25,0.0,top
SW7,60.46,-182.75,0.0,top
SW8,60.46,-194.5,0.0,top
SW9,72.71,-118.5,0.0,top
U5,127.1,-44.0,90.0,top
